WKT,U_ID,Name of organis,Floor levels t,Description of 1,Type of associ,Goods access,Organisation w,Street name eg,Street number,Postcode incl,Unit number i,Internal photo,External photo,Source,Category plus,Wmt sector,Branch status,Premises,Manufacturing making,Repair,Creative industrial,Building construction repair,Wholesale distribution,Level,Sector
"MULTIPOLYGON (((534673.487940819 179063.653306846,534675.653303196 179057.147474791,534687.314624399 179060.847328542,534685.400190082 179067.184254535,534676.441038419 179064.662821554,534673.487940819 179063.653306846)))",954,Paper Cavalier,Level 1,Buying And Selling Of Print Books,No associated yard space,Goods lift access,www.papercavalier.com,Clements Road,"100",SE16 4DG,"112.0",,,Cities,Fully / predominantly non-industrial other than housing,O Retail,[non-industrial],Not industrial,no,no,no,no,no,L1,n/a
"MULTIPOLYGON (((534693.163006622 179041.488730018,534693.623309448 179039.965091982,534695.399854211 179034.0845911,534670.867774706 179025.782768906,534666.883985103 179038.111700159,534642.869645623 179030.377852037,534637.722922591 179044.861581193,534662.025852862 179052.781855566,534660.011579774 179059.203866088,534670.390200919 179062.535547627,534670.411437893 179062.472847989,534673.552247618 179063.460097048,534673.487940819 179063.653306846,534685.400190082 179067.184254535,534687.314624399 179060.847328542,534689.406650113 179053.922561255,534693.163006622 179041.488730018,534693.163006622 179041.488730018)))",955,I Heart Studios,"Level 1, Level 4 and above",Digital Content Creation,No associated yard space,Goods lift access,,Clements Road,"100",SE16 4DG,"112.0",,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=65223b0d-1b04-4d26-8873-6cc3da8efa5a_1564659319.jpg,Cities,Fully / predominantly non-industrial other than housing,N Services: other,[non-industrial],Not industrial,no,no,no,no,no,L1,n/a
"MULTIPOLYGON (((534645.018564155 179047.242989907,534653.188699007 179050.068737359,534654.961311671 179044.407285079,534646.900200973 179041.694411286,534645.018564155 179047.242989907)))",956,Wild Ones,Level 1,Event Services,No associated yard space,Goods lift access,www.wildones.co.uk,Drummond Road,"100",SE16 4DG,"106.0",,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=21825db8-c5fe-41ad-ade0-a884804dc1cf_1564658950.jpg,Cities,Fully / predominantly non-industrial other than housing,,[non-industrial],Not industrial,no,no,no,no,no,L1,n/a
"MULTIPOLYGON (((534637.722922591 179044.861581193,534645.018564155 179047.242989907,534646.900200973 179041.694411286,534639.684345033 179039.211513563,534637.722922591 179044.861581193)))",957,Equal Productions,Level 1,Media Production,No associated yard space,Goods lift access,https://www.equalproductions.com/,Clements Road,"100",SE16 4DG,"105.0",,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=f1136097-f7f0-4bea-b19e-fe3fbd6a104a_1564658902.jpg,Cities,Fully / predominantly non-industrial other than housing,,[non-industrial],Not industrial,no,no,no,no,no,L1,n/a
"MULTIPOLYGON (((534653.188699007 179050.068737359,534662.025852862 179052.781855566,534663.797529168 179047.042648192,534654.961311671 179044.407285079,534653.188699007 179050.068737359)))",958,Materialize X,Level 1,Create Organic Chemicals,No associated yard space,Goods lift access,materializex.com,Clements Road,"100",SE16 4DG,"104.0",,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=5028a4e9-9227-4d6c-a2b8-a02a6a684b86_1564658756.jpg,Cities,"Manufacture, other",,Stand alone (industrial),Industrial in mixed use premises,yes,no,no,no,no,L1,Manufacturing
"MULTIPOLYGON (((534656.014551193 179041.354742297,534664.824890284 179044.438927986,534666.883985103 179038.111700159,534658.294270902 179035.493556903,534656.014551193 179041.354742297)))",959,Mcce,Level 1,Consulting Engineers,No associated yard space,Goods lift access,www.mcce-ltd.co.uk/defaultsite,Clements Road,"100",SE16 4DG,"103.0",,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=c1c288e0-8108-428a-850d-75ae216b924c_1564657663.jpg,Cities,"Vehicle / equipment depot, construction related",,Stand alone (industrial),Industrial in mixed use premises,no,no,no,yes,no,L1,Transportation and Storage
"MULTIPOLYGON (((534648.179436405 179038.503196428,534656.014551193 179041.354742297,534658.294270902 179035.493556903,534650.155649524 179032.78068311,534648.179436405 179038.503196428)))",960,Mariana Jungmann,Level 1,Fashion Designer,No associated yard space,Goods lift access,https://www.marianajungmann.com/,Clements Road,"100",SE16 4DG,"102.0",,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=21b39bf1-5a7b-4642-8cca-fa600a8272fe_1564657577.jpg,Cities,Fully / predominantly non-industrial other than housing,"Q Arts, culture, leisure and sports",[non-industrial],Not industrial,no,no,no,no,no,L1,n/a
"MULTIPOLYGON (((534642.869645623 179030.377852037,534650.155649524 179032.78068311,534648.179436405 179038.503196428,534640.762062804 179036.112086629,534642.869645623 179030.377852037)))",961,Gelati London,Level 1,Ice Cream Selling,No associated yard space,Goods lift access,,Clements Road,"100",SE16 4DG,"101.0",,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=cc5a6344-a27e-4da0-9e07-830f5913b85a_1564657448.jpg,Cities,Fully / predominantly non-industrial other than housing,,[non-industrial],Not industrial,no,no,no,no,no,L1,n/a
"MULTIPOLYGON (((534637.3 178999.1,534648.95 178961.050000001,534640.168773858 178958.036549017,534631.665696614 178987.688305559,534614.659542127 178982.019587396,534606.810547748 178988.124360802,534629.739807812 178996.866528391,534637.3 178999.1)))",962,,,Vacant,,,,,,,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=cc69b6e7-3310-4eb0-a2f7-0fd5f704d0cd_1564655523.jpg,Cities,Vacant industrial,Vacant,Vacant industrial,Industrial in predominantly industrial premises,no,no,no,no,no,G,Vacant Industrial
"MULTIPOLYGON (((534621.05 179034.800000001,534635.15 179038.1,534644.43 179001.279999999,534637.3 178999.1,534629.739807812 178996.866528391,534621.05 179034.800000001)))",963,Entrepreneur First,"Ground Floor, Level 1",Start Up Company Service,Yard shared with others,Level access to ground floor (e.g. items can be wheeled in),https://www.joinef.com/,Clements Road,,SE16 4DG,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=9d66de02-79d4-4234-a65d-c7c42263ed06_1564654464.jpg,Cities,Fully / predominantly non-industrial other than housing,M Services: professional,[non-industrial],Industrial in predominantly industrial premises,no,no,no,no,no,G,n/a
