U id,Name of organis,Floor levels t,Description of 1,Type of associ,Goods access,Organisation w,Street name eg,Street number,Postcode incl,Unit number i,Internal photo,External photo,Source,Category plus,Wmt sector,Branch status,Premises,Manufacturing making,Repair,Creative industrial,Building construction repair,Wholesale distribution,Level
432,Yvonne Feng,NA,Artist,No associated yard space,Goods lift access,http://www.yvonne-yiwen-feng.co.uk,Thurlow Street,NA,SE17 2DG,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=6a772be3-e69e-4725-8e05-0158dc666325_1568210869.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
443,Fernando Holguin,Level 1,Artist,Yard shared with others,No goods access required,5537gallery.com,Thurlow Street,NA,SE17 2dg,3.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=416ebea5-69c3-4520-8e28-cc05a6a32d38_1567181203.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,L1
521,Jenna Lee,Level 2,Artist,Yard shared with others,Loading from vehicles in yard used,jm-lee.myportfolio.com,Canada Street,NA,SE16 7pj,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,L2
19,Emily Scaife,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
39,Lottie Kingslake,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
52,Phoebe Halstead,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
5,Angela Phillips,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
1154,Andrew Gadd,Level 1,Artist,NA,NA,NA,Clement Road,100,SE16 4DG,14.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=d08abc30-380d-40ac-87d5-9ef481cce3dc_1564399876.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,L1
110,Angus Mccrum,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
111,Charlie Godet Thomas,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
102,Edgar-Walker,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
100,Fran Meana,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
93,Frank Ammerlaan,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
108,George Morris,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
502,Imogen Man,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=33abedb5-bbad-42f8-8ca6-6289172f6b5e_1566905714.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
101,Jon Kipps,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
104,Katja Larsson,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
1155,Kira Romano,Level 1,Artist,NA,NA,https://kiraromano.weebly.com/contact.html,Clement Road,100,SE16 4DG,13.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=efa673da-357c-4af2-a0f6-58ae93a13107_1564399741.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,L1
105,Lea Collet,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
92,Mike Armitage,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
106,Natalia Janula,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
98,Robbie Fife,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
103,Rosalind Wilson,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
107,Ruaidhri Ryan,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
109,Rutie Borthwick,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
91,Tonico Auad,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
666,Yun Kyung Jeong,NA,Artist,NA,NA,http://yunkyungjeong.com/,Drummond Road,100,SE164DG,106.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=8544d410-b86c-11e9-9c0e-2d13c6ade51e_1565111408.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
1003,NA,Level 2,Artist,NA,NA,NA,Clement Road,100,SE16 4DG,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,L2
65,NA,NA,Artist,NA,NA,NA,NA,NA,NA,17.0,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
66,NA,NA,Artist,NA,NA,NA,NA,NA,NA,17.0,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
40,Lucie Kordacova,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
11,Christopher Macinnes,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
21,Folio Atelier,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
